,el
1/1/2024 1:00,9.665569825
1/1/2024 2:00,8.943218575
1/1/2024 3:00,8.301128575
1/1/2024 4:00,8.301128575
1/1/2024 5:00,8.943218575
1/1/2024 6:00,14.25305108
1/1/2024 7:00,30.14630661
1/1/2024 8:00,12.28899191
1/1/2024 9:00,7.060922144
1/1/2024 10:00,7.060922144
1/1/2024 11:00,6.338570894
1/1/2024 12:00,6.338570894
1/1/2024 13:00,27.36630009
1/1/2024 14:00,10.28246066
1/1/2024 15:00,6.338570894
1/1/2024 16:00,7.542489644
1/1/2024 17:00,12.35816464
1/1/2024 18:00,18.70989191
1/1/2024 19:00,38.20156884
1/1/2024 20:00,43.84188884
1/1/2024 21:00,22.08951634
1/1/2024 22:00,21.71734733
1/1/2024 23:00,17.70428483
1/2/2024 0:00,11.67210108
1/2/2024 1:00,9.665569825
1/2/2024 2:00,8.943218575
1/2/2024 3:00,8.301128575
1/2/2024 4:00,8.301128575
1/2/2024 5:00,8.943218575
1/2/2024 6:00,14.25305108
1/2/2024 7:00,30.14630661
1/2/2024 8:00,12.28899191
1/2/2024 9:00,7.060922144
1/2/2024 10:00,7.060922144
1/2/2024 11:00,6.338570894
1/2/2024 12:00,6.338570894
1/2/2024 13:00,27.36630009
1/2/2024 14:00,10.28246066
1/2/2024 15:00,6.338570894
1/2/2024 16:00,7.542489644
1/2/2024 17:00,12.35816464
1/2/2024 18:00,18.70989191
1/2/2024 19:00,38.20156884
1/2/2024 20:00,43.84188884
1/2/2024 21:00,22.08951634
1/2/2024 22:00,21.71734733
1/2/2024 23:00,17.70428483
1/3/2024 0:00,11.67210108
1/3/2024 1:00,9.665569825
1/3/2024 2:00,8.943218575
1/3/2024 3:00,8.301128575
1/3/2024 4:00,8.301128575
1/3/2024 5:00,8.943218575
1/3/2024 6:00,14.25305108
1/3/2024 7:00,30.14630661
1/3/2024 8:00,12.28899191
1/3/2024 9:00,7.060922144
1/3/2024 10:00,7.060922144
1/3/2024 11:00,6.338570894
1/3/2024 12:00,6.338570894
1/3/2024 13:00,27.36630009
1/3/2024 14:00,10.28246066
1/3/2024 15:00,6.338570894
1/3/2024 16:00,7.542489644
1/3/2024 17:00,12.35816464
1/3/2024 18:00,18.70989191
1/3/2024 19:00,38.20156884
1/3/2024 20:00,43.84188884
1/3/2024 21:00,22.08951634
1/3/2024 22:00,21.71734733
1/3/2024 23:00,17.70428483
1/4/2024 0:00,11.67210108
1/4/2024 1:00,9.665569825
1/4/2024 2:00,8.943218575
1/4/2024 3:00,8.301128575
1/4/2024 4:00,8.301128575
1/4/2024 5:00,8.943218575
1/4/2024 6:00,14.25305108
1/4/2024 7:00,30.14630661
1/4/2024 8:00,12.28899191
1/4/2024 9:00,7.060922144
1/4/2024 10:00,7.060922144
1/4/2024 11:00,6.338570894
1/4/2024 12:00,6.338570894
1/4/2024 13:00,27.36630009
1/4/2024 14:00,10.28246066
1/4/2024 15:00,6.338570894
1/4/2024 16:00,7.542489644
1/4/2024 17:00,12.35816464
1/4/2024 18:00,18.70989191
1/4/2024 19:00,38.20156884
1/4/2024 20:00,43.84188884
1/4/2024 21:00,22.08951634
1/4/2024 22:00,21.71734733
1/4/2024 23:00,17.70428483
1/5/2024 0:00,11.67210108
1/5/2024 1:00,9.665569825
1/5/2024 2:00,8.943218575
1/5/2024 3:00,8.301128575
1/5/2024 4:00,8.301128575
1/5/2024 5:00,8.943218575
1/5/2024 6:00,14.25305108
1/5/2024 7:00,30.14630661
1/5/2024 8:00,12.28899191
1/5/2024 9:00,7.060922144
1/5/2024 10:00,7.060922144
1/5/2024 11:00,6.338570894
1/5/2024 12:00,6.338570894
1/5/2024 13:00,27.36630009
1/5/2024 14:00,10.28246066
1/5/2024 15:00,6.338570894
1/5/2024 16:00,7.542489644
1/5/2024 17:00,12.35816464
1/5/2024 18:00,18.70989191
1/5/2024 19:00,38.20156884
1/5/2024 20:00,43.84188884
1/5/2024 21:00,22.08951634
1/5/2024 22:00,21.71734733
1/5/2024 23:00,17.70428483
1/6/2024 0:00,11.67210108
1/6/2024 1:00,9.665569825
1/6/2024 2:00,8.943218575
1/6/2024 3:00,8.301128575
1/6/2024 4:00,8.301128575
1/6/2024 5:00,8.943218575
1/6/2024 6:00,14.25305108
1/6/2024 7:00,30.14630661
1/6/2024 8:00,12.28899191
1/6/2024 9:00,7.060922144
1/6/2024 10:00,7.060922144
1/6/2024 11:00,6.338570894
1/6/2024 12:00,6.338570894
1/6/2024 13:00,27.36630009
1/6/2024 14:00,10.28246066
1/6/2024 15:00,6.338570894
1/6/2024 16:00,7.542489644
1/6/2024 17:00,12.35816464
1/6/2024 18:00,18.70989191
1/6/2024 19:00,38.20156884
1/6/2024 20:00,43.84188884
1/6/2024 21:00,22.08951634
1/6/2024 22:00,21.71734733
1/6/2024 23:00,17.70428483
1/7/2024 0:00,11.67210108
1/7/2024 1:00,9.665569825
1/7/2024 2:00,8.943218575
1/7/2024 3:00,8.301128575
1/7/2024 4:00,8.301128575
1/7/2024 5:00,8.943218575
1/7/2024 6:00,14.25305108
1/7/2024 7:00,30.14630661
1/7/2024 8:00,12.28899191
1/7/2024 9:00,7.060922144
1/7/2024 10:00,7.060922144
1/7/2024 11:00,6.338570894
1/7/2024 12:00,6.338570894
1/7/2024 13:00,27.36630009
1/7/2024 14:00,10.28246066
1/7/2024 15:00,6.338570894
1/7/2024 16:00,7.542489644
1/7/2024 17:00,12.35816464
1/7/2024 18:00,18.70989191
1/7/2024 19:00,38.20156884
1/7/2024 20:00,43.84188884
1/7/2024 21:00,22.08951634
1/7/2024 22:00,21.71734733
1/7/2024 23:00,17.70428483
1/8/2024 0:00,11.67210108
1/8/2024 1:00,9.665569825
1/8/2024 2:00,8.943218575
1/8/2024 3:00,8.301128575
1/8/2024 4:00,8.301128575
1/8/2024 5:00,8.943218575
1/8/2024 6:00,14.25305108
1/8/2024 7:00,30.14630661
1/8/2024 8:00,12.28899191
1/8/2024 9:00,7.060922144
1/8/2024 10:00,7.060922144
1/8/2024 11:00,6.338570894
1/8/2024 12:00,6.338570894
1/8/2024 13:00,27.36630009
1/8/2024 14:00,10.28246066
1/8/2024 15:00,6.338570894
1/8/2024 16:00,7.542489644
1/8/2024 17:00,12.35816464
1/8/2024 18:00,18.70989191
1/8/2024 19:00,38.20156884
1/8/2024 20:00,43.84188884
1/8/2024 21:00,22.08951634
1/8/2024 22:00,21.71734733
1/8/2024 23:00,17.70428483
1/9/2024 0:00,11.67210108
1/9/2024 1:00,9.665569825
1/9/2024 2:00,8.943218575
1/9/2024 3:00,8.301128575
1/9/2024 4:00,8.301128575
1/9/2024 5:00,8.943218575
1/9/2024 6:00,14.25305108
1/9/2024 7:00,30.14630661
1/9/2024 8:00,12.28899191
1/9/2024 9:00,7.060922144
1/9/2024 10:00,7.060922144
1/9/2024 11:00,6.338570894
1/9/2024 12:00,6.338570894
1/9/2024 13:00,27.36630009
1/9/2024 14:00,10.28246066
1/9/2024 15:00,6.338570894
1/9/2024 16:00,7.542489644
1/9/2024 17:00,12.35816464
1/9/2024 18:00,18.70989191
1/9/2024 19:00,38.20156884
1/9/2024 20:00,43.84188884
1/9/2024 21:00,22.08951634
1/9/2024 22:00,21.71734733
1/9/2024 23:00,17.70428483
1/10/2024 0:00,11.67210108
1/10/2024 1:00,9.665569825
1/10/2024 2:00,8.943218575
1/10/2024 3:00,8.301128575
1/10/2024 4:00,8.301128575
1/10/2024 5:00,8.943218575
1/10/2024 6:00,14.25305108
1/10/2024 7:00,30.14630661
1/10/2024 8:00,12.28899191
1/10/2024 9:00,7.060922144
1/10/2024 10:00,7.060922144
1/10/2024 11:00,6.338570894
1/10/2024 12:00,6.338570894
1/10/2024 13:00,27.36630009
1/10/2024 14:00,10.28246066
1/10/2024 15:00,6.338570894
1/10/2024 16:00,7.542489644
1/10/2024 17:00,12.35816464
1/10/2024 18:00,18.70989191
1/10/2024 19:00,38.20156884
1/10/2024 20:00,43.84188884
1/10/2024 21:00,22.08951634
1/10/2024 22:00,21.71734733
1/10/2024 23:00,17.70428483
1/11/2024 0:00,11.67210108
1/11/2024 1:00,9.665569825
1/11/2024 2:00,8.943218575
1/11/2024 3:00,8.301128575
1/11/2024 4:00,8.301128575
1/11/2024 5:00,8.943218575
1/11/2024 6:00,14.25305108
1/11/2024 7:00,30.14630661
1/11/2024 8:00,12.28899191
1/11/2024 9:00,7.060922144
1/11/2024 10:00,7.060922144
1/11/2024 11:00,6.338570894
1/11/2024 12:00,6.338570894
1/11/2024 13:00,27.36630009
1/11/2024 14:00,10.28246066
1/11/2024 15:00,6.338570894
1/11/2024 16:00,7.542489644
1/11/2024 17:00,12.35816464
1/11/2024 18:00,18.70989191
1/11/2024 19:00,38.20156884
1/11/2024 20:00,43.84188884
1/11/2024 21:00,22.08951634
1/11/2024 22:00,21.71734733
1/11/2024 23:00,17.70428483
1/12/2024 0:00,11.67210108
1/12/2024 1:00,9.665569825
1/12/2024 2:00,8.943218575
1/12/2024 3:00,8.301128575
1/12/2024 4:00,8.301128575
1/12/2024 5:00,8.943218575
1/12/2024 6:00,14.25305108
1/12/2024 7:00,30.14630661
1/12/2024 8:00,12.28899191
1/12/2024 9:00,7.060922144
1/12/2024 10:00,7.060922144
1/12/2024 11:00,6.338570894
1/12/2024 12:00,6.338570894
1/12/2024 13:00,27.36630009
1/12/2024 14:00,10.28246066
1/12/2024 15:00,6.338570894
1/12/2024 16:00,7.542489644
1/12/2024 17:00,12.35816464
1/12/2024 18:00,18.70989191
1/12/2024 19:00,38.20156884
1/12/2024 20:00,43.84188884
1/12/2024 21:00,22.08951634
1/12/2024 22:00,21.71734733
1/12/2024 23:00,17.70428483
1/13/2024 0:00,11.67210108
1/13/2024 1:00,9.665569825
1/13/2024 2:00,8.943218575
1/13/2024 3:00,8.301128575
1/13/2024 4:00,8.301128575
1/13/2024 5:00,8.943218575
1/13/2024 6:00,14.25305108
1/13/2024 7:00,30.14630661
1/13/2024 8:00,12.28899191
1/13/2024 9:00,7.060922144
1/13/2024 10:00,7.060922144
1/13/2024 11:00,6.338570894
1/13/2024 12:00,6.338570894
1/13/2024 13:00,27.36630009
1/13/2024 14:00,10.28246066
1/13/2024 15:00,6.338570894
1/13/2024 16:00,7.542489644
1/13/2024 17:00,12.35816464
1/13/2024 18:00,18.70989191
1/13/2024 19:00,38.20156884
1/13/2024 20:00,43.84188884
1/13/2024 21:00,22.08951634
1/13/2024 22:00,21.71734733
1/13/2024 23:00,17.70428483
1/14/2024 0:00,11.67210108
1/14/2024 1:00,9.665569825
1/14/2024 2:00,8.943218575
1/14/2024 3:00,8.301128575
1/14/2024 4:00,8.301128575
1/14/2024 5:00,8.943218575
1/14/2024 6:00,14.25305108
1/14/2024 7:00,30.14630661
1/14/2024 8:00,12.28899191
1/14/2024 9:00,7.060922144
1/14/2024 10:00,7.060922144
1/14/2024 11:00,6.338570894
1/14/2024 12:00,6.338570894
1/14/2024 13:00,27.36630009
1/14/2024 14:00,10.28246066
1/14/2024 15:00,6.338570894
1/14/2024 16:00,7.542489644
1/14/2024 17:00,12.35816464
1/14/2024 18:00,18.70989191
1/14/2024 19:00,38.20156884
1/14/2024 20:00,43.84188884
1/14/2024 21:00,22.08951634
1/14/2024 22:00,21.71734733
1/14/2024 23:00,17.70428483
1/15/2024 0:00,11.67210108
1/15/2024 1:00,9.665569825
1/15/2024 2:00,8.943218575
1/15/2024 3:00,8.301128575
1/15/2024 4:00,8.301128575
1/15/2024 5:00,8.943218575
1/15/2024 6:00,14.25305108
1/15/2024 7:00,30.14630661
1/15/2024 8:00,12.28899191
1/15/2024 9:00,7.060922144
1/15/2024 10:00,7.060922144
1/15/2024 11:00,6.338570894
1/15/2024 12:00,6.338570894
1/15/2024 13:00,27.36630009
1/15/2024 14:00,10.28246066
1/15/2024 15:00,6.338570894
