,ev
1/1/2024 1:00,18.34026862
1/1/2024 2:00,21.27755592
1/1/2024 3:00,14.40052617
1/1/2024 4:00,11.96076713
1/1/2024 5:00,11.38297761
1/1/2024 6:00,16.69281011
1/1/2024 7:00,32.45052348
1/1/2024 8:00,15.94863047
1/1/2024 9:00,12.61815106
1/1/2024 10:00,13.56694624
1/1/2024 11:00,15.01326969
1/1/2024 12:00,21.11266728
1/1/2024 13:00,52.30605913
1/1/2024 14:00,32.64691849
1/1/2024 15:00,19.89278776
1/1/2024 16:00,19.87682699
1/1/2024 17:00,29.70756223
1/1/2024 18:00,51.10447023
1/1/2024 19:00,81.84614716
1/1/2024 20:00,85.18225029
1/1/2024 21:00,55.83951634
1/1/2024 22:00,44.21734733
1/1/2024 23:00,32.61392338
1/2/2024 0:00,24.00643842
1/2/2024 1:00,18.34026862
1/2/2024 2:00,21.27755592
1/2/2024 3:00,14.40052617
1/2/2024 4:00,11.96076713
1/2/2024 5:00,11.38297761
1/2/2024 6:00,16.69281011
1/2/2024 7:00,32.45052348
1/2/2024 8:00,15.94863047
1/2/2024 9:00,12.61815106
1/2/2024 10:00,13.56694624
1/2/2024 11:00,15.01326969
1/2/2024 12:00,21.11266728
1/2/2024 13:00,52.30605913
1/2/2024 14:00,32.64691849
1/2/2024 15:00,19.89278776
1/2/2024 16:00,19.87682699
1/2/2024 17:00,29.70756223
1/2/2024 18:00,51.10447023
1/2/2024 19:00,81.84614716
1/2/2024 20:00,85.18225029
1/2/2024 21:00,55.83951634
1/2/2024 22:00,44.21734733
1/2/2024 23:00,32.61392338
1/3/2024 0:00,24.00643842
1/3/2024 1:00,18.34026862
1/3/2024 2:00,21.27755592
1/3/2024 3:00,14.40052617
1/3/2024 4:00,11.96076713
1/3/2024 5:00,11.38297761
1/3/2024 6:00,16.69281011
1/3/2024 7:00,32.45052348
1/3/2024 8:00,15.94863047
1/3/2024 9:00,12.61815106
1/3/2024 10:00,13.56694624
1/3/2024 11:00,15.01326969
1/3/2024 12:00,21.11266728
1/3/2024 13:00,52.30605913
1/3/2024 14:00,32.64691849
1/3/2024 15:00,19.89278776
1/3/2024 16:00,19.87682699
1/3/2024 17:00,29.70756223
1/3/2024 18:00,51.10447023
1/3/2024 19:00,81.84614716
1/3/2024 20:00,85.18225029
1/3/2024 21:00,55.83951634
1/3/2024 22:00,44.21734733
1/3/2024 23:00,32.61392338
1/4/2024 0:00,24.00643842
1/4/2024 1:00,18.34026862
1/4/2024 2:00,21.27755592
1/4/2024 3:00,14.40052617
1/4/2024 4:00,11.96076713
1/4/2024 5:00,11.38297761
1/4/2024 6:00,16.69281011
1/4/2024 7:00,32.45052348
1/4/2024 8:00,15.94863047
1/4/2024 9:00,12.61815106
1/4/2024 10:00,13.56694624
1/4/2024 11:00,15.01326969
1/4/2024 12:00,21.11266728
1/4/2024 13:00,52.30605913
1/4/2024 14:00,32.64691849
1/4/2024 15:00,19.89278776
1/4/2024 16:00,19.87682699
1/4/2024 17:00,29.70756223
1/4/2024 18:00,51.10447023
1/4/2024 19:00,81.84614716
1/4/2024 20:00,85.18225029
1/4/2024 21:00,55.83951634
1/4/2024 22:00,44.21734733
1/4/2024 23:00,32.61392338
1/5/2024 0:00,24.00643842
1/5/2024 1:00,18.34026862
1/5/2024 2:00,21.27755592
1/5/2024 3:00,14.40052617
1/5/2024 4:00,11.96076713
1/5/2024 5:00,11.38297761
1/5/2024 6:00,16.69281011
1/5/2024 7:00,32.45052348
1/5/2024 8:00,15.94863047
1/5/2024 9:00,12.61815106
1/5/2024 10:00,13.56694624
1/5/2024 11:00,15.01326969
1/5/2024 12:00,21.11266728
1/5/2024 13:00,52.30605913
1/5/2024 14:00,32.64691849
1/5/2024 15:00,19.89278776
1/5/2024 16:00,19.87682699
1/5/2024 17:00,29.70756223
1/5/2024 18:00,51.10447023
1/5/2024 19:00,81.84614716
1/5/2024 20:00,85.18225029
1/5/2024 21:00,55.83951634
1/5/2024 22:00,44.21734733
1/5/2024 23:00,32.61392338
1/6/2024 0:00,24.00643842
1/6/2024 1:00,18.34026862
1/6/2024 2:00,21.27755592
1/6/2024 3:00,14.40052617
1/6/2024 4:00,11.96076713
1/6/2024 5:00,11.38297761
1/6/2024 6:00,16.69281011
1/6/2024 7:00,32.45052348
1/6/2024 8:00,15.94863047
1/6/2024 9:00,12.61815106
1/6/2024 10:00,13.56694624
1/6/2024 11:00,15.01326969
1/6/2024 12:00,21.11266728
1/6/2024 13:00,52.30605913
1/6/2024 14:00,32.64691849
1/6/2024 15:00,19.89278776
1/6/2024 16:00,19.87682699
1/6/2024 17:00,29.70756223
1/6/2024 18:00,51.10447023
1/6/2024 19:00,81.84614716
1/6/2024 20:00,85.18225029
1/6/2024 21:00,55.83951634
1/6/2024 22:00,44.21734733
1/6/2024 23:00,32.61392338
1/7/2024 0:00,24.00643842
1/7/2024 1:00,18.34026862
1/7/2024 2:00,21.27755592
1/7/2024 3:00,14.40052617
1/7/2024 4:00,11.96076713
1/7/2024 5:00,11.38297761
1/7/2024 6:00,16.69281011
1/7/2024 7:00,32.45052348
1/7/2024 8:00,15.94863047
1/7/2024 9:00,12.61815106
1/7/2024 10:00,13.56694624
1/7/2024 11:00,15.01326969
1/7/2024 12:00,21.11266728
1/7/2024 13:00,52.30605913
1/7/2024 14:00,32.64691849
1/7/2024 15:00,19.89278776
1/7/2024 16:00,19.87682699
1/7/2024 17:00,29.70756223
1/7/2024 18:00,51.10447023
1/7/2024 19:00,81.84614716
1/7/2024 20:00,85.18225029
1/7/2024 21:00,55.83951634
1/7/2024 22:00,44.21734733
1/7/2024 23:00,32.61392338
1/8/2024 0:00,24.00643842
1/8/2024 1:00,18.34026862
1/8/2024 2:00,21.27755592
1/8/2024 3:00,14.40052617
1/8/2024 4:00,11.96076713
1/8/2024 5:00,11.38297761
1/8/2024 6:00,16.69281011
1/8/2024 7:00,32.45052348
1/8/2024 8:00,15.94863047
1/8/2024 9:00,12.61815106
1/8/2024 10:00,13.56694624
1/8/2024 11:00,15.01326969
1/8/2024 12:00,21.11266728
1/8/2024 13:00,52.30605913
1/8/2024 14:00,32.64691849
1/8/2024 15:00,19.89278776
1/8/2024 16:00,19.87682699
1/8/2024 17:00,29.70756223
1/8/2024 18:00,51.10447023
1/8/2024 19:00,81.84614716
1/8/2024 20:00,85.18225029
1/8/2024 21:00,55.83951634
1/8/2024 22:00,44.21734733
1/8/2024 23:00,32.61392338
1/9/2024 0:00,24.00643842
1/9/2024 1:00,18.34026862
1/9/2024 2:00,21.27755592
1/9/2024 3:00,14.40052617
1/9/2024 4:00,11.96076713
1/9/2024 5:00,11.38297761
1/9/2024 6:00,16.69281011
1/9/2024 7:00,32.45052348
1/9/2024 8:00,15.94863047
1/9/2024 9:00,12.61815106
1/9/2024 10:00,13.56694624
1/9/2024 11:00,15.01326969
1/9/2024 12:00,21.11266728
1/9/2024 13:00,52.30605913
1/9/2024 14:00,32.64691849
1/9/2024 15:00,19.89278776
1/9/2024 16:00,19.87682699
1/9/2024 17:00,29.70756223
1/9/2024 18:00,51.10447023
1/9/2024 19:00,81.84614716
1/9/2024 20:00,85.18225029
1/9/2024 21:00,55.83951634
1/9/2024 22:00,44.21734733
1/9/2024 23:00,32.61392338
1/10/2024 0:00,24.00643842
1/10/2024 1:00,18.34026862
1/10/2024 2:00,21.27755592
1/10/2024 3:00,14.40052617
1/10/2024 4:00,11.96076713
1/10/2024 5:00,11.38297761
1/10/2024 6:00,16.69281011
1/10/2024 7:00,32.45052348
1/10/2024 8:00,15.94863047
1/10/2024 9:00,12.61815106
1/10/2024 10:00,13.56694624
1/10/2024 11:00,15.01326969
1/10/2024 12:00,21.11266728
1/10/2024 13:00,52.30605913
1/10/2024 14:00,32.64691849
1/10/2024 15:00,19.89278776
1/10/2024 16:00,19.87682699
1/10/2024 17:00,29.70756223
1/10/2024 18:00,51.10447023
1/10/2024 19:00,81.84614716
1/10/2024 20:00,85.18225029
1/10/2024 21:00,55.83951634
1/10/2024 22:00,44.21734733
1/10/2024 23:00,32.61392338
1/11/2024 0:00,24.00643842
1/11/2024 1:00,18.34026862
1/11/2024 2:00,21.27755592
1/11/2024 3:00,14.40052617
1/11/2024 4:00,11.96076713
1/11/2024 5:00,11.38297761
1/11/2024 6:00,16.69281011
1/11/2024 7:00,32.45052348
1/11/2024 8:00,15.94863047
1/11/2024 9:00,12.61815106
1/11/2024 10:00,13.56694624
1/11/2024 11:00,15.01326969
1/11/2024 12:00,21.11266728
1/11/2024 13:00,52.30605913
1/11/2024 14:00,32.64691849
1/11/2024 15:00,19.89278776
1/11/2024 16:00,19.87682699
1/11/2024 17:00,29.70756223
1/11/2024 18:00,51.10447023
1/11/2024 19:00,81.84614716
1/11/2024 20:00,85.18225029
1/11/2024 21:00,55.83951634
1/11/2024 22:00,44.21734733
1/11/2024 23:00,32.61392338
1/12/2024 0:00,24.00643842
1/12/2024 1:00,18.34026862
1/12/2024 2:00,21.27755592
1/12/2024 3:00,14.40052617
1/12/2024 4:00,11.96076713
1/12/2024 5:00,11.38297761
1/12/2024 6:00,16.69281011
1/12/2024 7:00,32.45052348
1/12/2024 8:00,15.94863047
1/12/2024 9:00,12.61815106
1/12/2024 10:00,13.56694624
1/12/2024 11:00,15.01326969
1/12/2024 12:00,21.11266728
1/12/2024 13:00,52.30605913
1/12/2024 14:00,32.64691849
1/12/2024 15:00,19.89278776
1/12/2024 16:00,19.87682699
1/12/2024 17:00,29.70756223
1/12/2024 18:00,51.10447023
1/12/2024 19:00,81.84614716
1/12/2024 20:00,85.18225029
1/12/2024 21:00,55.83951634
1/12/2024 22:00,44.21734733
1/12/2024 23:00,32.61392338
1/13/2024 0:00,24.00643842
1/13/2024 1:00,18.34026862
1/13/2024 2:00,21.27755592
1/13/2024 3:00,14.40052617
1/13/2024 4:00,11.96076713
1/13/2024 5:00,11.38297761
1/13/2024 6:00,16.69281011
1/13/2024 7:00,32.45052348
1/13/2024 8:00,15.94863047
1/13/2024 9:00,12.61815106
1/13/2024 10:00,13.56694624
1/13/2024 11:00,15.01326969
1/13/2024 12:00,21.11266728
1/13/2024 13:00,52.30605913
1/13/2024 14:00,32.64691849
1/13/2024 15:00,19.89278776
1/13/2024 16:00,19.87682699
1/13/2024 17:00,29.70756223
1/13/2024 18:00,51.10447023
1/13/2024 19:00,81.84614716
1/13/2024 20:00,85.18225029
1/13/2024 21:00,55.83951634
1/13/2024 22:00,44.21734733
1/13/2024 23:00,32.61392338
1/14/2024 0:00,24.00643842
1/14/2024 1:00,18.34026862
1/14/2024 2:00,21.27755592
1/14/2024 3:00,14.40052617
1/14/2024 4:00,11.96076713
1/14/2024 5:00,11.38297761
1/14/2024 6:00,16.69281011
1/14/2024 7:00,32.45052348
1/14/2024 8:00,15.94863047
1/14/2024 9:00,12.61815106
1/14/2024 10:00,13.56694624
1/14/2024 11:00,15.01326969
1/14/2024 12:00,21.11266728
1/14/2024 13:00,52.30605913
1/14/2024 14:00,32.64691849
1/14/2024 15:00,19.89278776
1/14/2024 16:00,19.87682699
1/14/2024 17:00,29.70756223
1/14/2024 18:00,51.10447023
1/14/2024 19:00,81.84614716
1/14/2024 20:00,85.18225029
1/14/2024 21:00,55.83951634
1/14/2024 22:00,44.21734733
1/14/2024 23:00,32.61392338
1/15/2024 0:00,24.00643842
1/15/2024 1:00,18.34026862
1/15/2024 2:00,21.27755592
1/15/2024 3:00,14.40052617
1/15/2024 4:00,11.96076713
1/15/2024 5:00,11.38297761
1/15/2024 6:00,16.69281011
1/15/2024 7:00,32.45052348
1/15/2024 8:00,15.94863047
1/15/2024 9:00,12.61815106
1/15/2024 10:00,13.56694624
1/15/2024 11:00,15.01326969
